fecha,trm
1991-11-01,694.1775
1991-12-01,630.4125806451614
1992-01-01,644.058064516129
1992-02-01,635.671724137931
1992-03-01,640.501935483871
1992-04-01,649.955
1992-05-01,659.7712903225806
1992-06-01,677.1653333333333
1992-07-01,704.7722580645161
1992-08-01,694.1745161290322
1992-09-01,697.5033333333333
1992-10-01,707.8048387096775
1992-11-01,722.5673333333333
1992-12-01,733.8293548387096
1993-01-01,745.1825806451612
1993-02-01,749.7317857142858
1993-03-01,764.7003225806451
1993-04-01,771.472
1993-05-01,779.4458064516128
1993-06-01,784.4903333333333
1993-07-01,794.9967741935483
1993-08-01,804.6377419354839
1993-09-01,809.687
1993-10-01,814.4812903225805
1993-11-01,813.9426666666666
1993-12-01,803.2761290322582
1994-01-01,815.741935483871
1994-02-01,817.5917857142857
1994-03-01,819.7996774193549
1994-04-01,829.3456666666666
1994-05-01,841.406129032258
1994-06-01,831.1583333333333
1994-07-01,818.8612903225807
1994-08-01,814.6725806451612
1994-09-01,829.7623333333333
1994-10-01,839.0467741935485
1994-11-01,829.5206666666667
1994-12-01,829.4448387096775
1995-01-01,846.3203225806452
1995-02-01,850.5217857142858
1995-03-01,865.421935483871
1995-04-01,872.987
1995-05-01,876.7632258064516
1995-06-01,874.5229999999999
1995-07-01,892.3222580645162
1995-08-01,935.6635483870967
1995-09-01,963.3696666666667
1995-10-01,985.1025806451613
1995-11-01,1000.4346666666667
1995-12-01,987.1238709677419
1996-01-01,1010.2216129032257
1996-02-01,1029.086896551724
1996-03-01,1044.9693548387097
1996-04-01,1050.6966666666667
1996-05-01,1065.7687096774193
1996-06-01,1071.612
1996-07-01,1063.9667741935484
1996-08-01,1045.032258064516
1996-09-01,1040.1243333333334
1996-10-01,1015.4645161290323
1996-11-01,998.6633333333334
1996-12-01,1001.6054838709678
1997-01-01,1024.2951612903225
1997-02-01,1072.9489285714285
1997-03-01,1062.0135483870968
1997-04-01,1060.2493333333334
1997-05-01,1074.5312903225806
1997-06-01,1082.2126666666668
1997-07-01,1102.5145161290322
1997-08-01,1133.5967741935483
1997-09-01,1222.8273333333334
1997-10-01,1262.6687096774194
1997-11-01,1294.5563333333334
1997-12-01,1295.568064516129
1998-01-01,1321.4306451612904
1998-02-01,1346.2875000000001
1998-03-01,1357.1190322580646
1998-04-01,1359.9293333333335
1998-05-01,1385.3558064516128
1998-06-01,1384.4959999999999
1998-07-01,1371.6903225806452
1998-08-01,1390.71
1998-09-01,1523.4763333333333
1998-10-01,1588.0070967741935
1998-11-01,1562.165
1998-12-01,1520.4787096774194
1999-01-01,1567.9696774193549
1999-02-01,1566.8532142857143
1999-03-01,1549.2025806451613
1999-04-01,1570.6273333333334
1999-05-01,1642.1783870967743
1999-06-01,1691.6146666666668
1999-07-01,1814.6454838709678
1999-08-01,1878.996129032258
1999-09-01,1975.9579999999999
1999-10-01,1978.5474193548387
1999-11-01,1945.4256666666665
1999-12-01,1887.4735483870968
2000-01-01,1921.8867741935483
2000-02-01,1949.873448275862
2000-03-01,1956.305806451613
2000-04-01,1987.9503333333334
2000-05-01,2055.5287096774196
2000-06-01,2119.7463333333335
2000-07-01,2160.2390322580645
2000-08-01,2187.2670967741933
2000-09-01,2214.1366666666668
2000-10-01,2176.5735483870967
2000-11-01,2135.2866666666664
2000-12-01,2187.340322580645
2001-01-01,2242.312903225806
2001-02-01,2243.5882142857145
2001-03-01,2279.4045161290323
2001-04-01,2323.1940000000004
2001-05-01,2347.995161290323
2001-06-01,2304.7786666666666
2001-07-01,2304.4187096774194
2001-08-01,2288.001935483871
2001-09-01,2327.7383333333332
2001-10-01,2320.004838709677
2001-11-01,2310.336333333333
2001-12-01,2306.130322580645
2002-01-01,2276.9667741935486
2002-02-01,2285.9585714285718
2002-03-01,2280.2490322580647
2002-04-01,2263.599
2002-05-01,2308.6022580645163
2002-06-01,2361.138
2002-07-01,2506.2909677419357
2002-08-01,2645.796451612903
2002-09-01,2755.7533333333336
2002-10-01,2830.1051612903225
2002-11-01,2731.3323333333333
2002-12-01,2814.19
2003-01-01,2905.504838709677
2003-02-01,2950.542142857143
2003-03-01,2958.6390322580646
2003-04-01,2925.6583333333333
2003-05-01,2856.165483870968
2003-06-01,2827.413333333333
2003-07-01,2859.199677419355
2003-08-01,2865.2306451612903
2003-09-01,2840.675333333333
2003-10-01,2873.949677419355
2003-11-01,2846.5413333333336
2003-12-01,2806.5535483870967
2004-01-01,2750.816774193548
2004-02-01,2718.254827586207
2004-03-01,2670.924193548387
2004-04-01,2641.5686666666666
2004-05-01,2719.518064516129
2004-06-01,2716.4603333333334
2004-07-01,2651.1306451612904
2004-08-01,2599.3706451612907
2004-09-01,2553.4156666666668
2004-10-01,2580.2351612903226
2004-11-01,2530.164333333333
2004-12-01,2413.2890322580643
2005-01-01,2364.517741935484
2005-02-01,2339.6228571428574
2005-03-01,2356.8074193548387
2005-04-01,2351.0163333333335
2005-05-01,2339.345483870968
2005-06-01,2331.4443333333334
2005-07-01,2322.7867741935484
2005-08-01,2306.767419354839
2005-09-01,2295.474666666667
2005-10-01,2292.7200000000003
2005-11-01,2279.736
2005-12-01,2278.5393548387096
2006-01-01,2273.7109677419353
2006-02-01,2255.7714285714287
2006-03-01,2261.9187096774194
2006-04-01,2335.137666666667
2006-05-01,2418.6493548387098
2006-06-01,2542.2200000000003
2006-07-01,2513.698387096774
2006-08-01,2388.983548387097
2006-09-01,2398.7086666666664
2006-10-01,2361.796451612903
2006-11-01,2290.438
2006-12-01,2260.705483870968
2007-01-01,2236.202258064516
2007-02-01,2227.5696428571428
2007-03-01,2202.844516129032
2007-04-01,2144.9006666666664
2007-05-01,2009.4154838709676
2007-06-01,1923.5343333333333
2007-07-01,1951.843548387097
2007-08-01,2056.0867741935485
2007-09-01,2113.3696666666665
2007-10-01,2001.086129032258
2007-11-01,2046.357
2007-12-01,2013.8345161290322
2008-01-01,1983.1841935483872
2008-02-01,1905.2941379310344
2008-03-01,1843.4932258064516
2008-04-01,1795.103
2008-05-01,1775.156129032258
2008-06-01,1732.2863333333332
2008-07-01,1781.0451612903225
2008-08-01,1847.4774193548387
2008-09-01,2066.187
2008-10-01,2288.858064516129
2008-11-01,2333.6603333333333
2008-12-01,2251.5103225806447
2009-01-01,2253.5061290322583
2009-02-01,2512.344285714286
2009-03-01,2469.6348387096778
2009-04-01,2374.6076666666663
2009-05-01,2227.3177419354843
2009-06-01,2089.4603333333334
2009-07-01,2049.239677419355
2009-08-01,2017.618064516129
2009-09-01,1978.033
2009-10-01,1901.400322580645
2009-11-01,1976.8793333333333
2009-12-01,2018.0125806451613
2010-01-01,1983.4267741935485
2010-02-01,1951.7239285714284
2010-03-01,1908.991935483871
2010-04-01,1937.449
2010-05-01,1983.5932258064515
2010-06-01,1926.846
2010-07-01,1874.4112903225807
2010-08-01,1821.2006451612904
2010-09-01,1805.7723333333333
2010-10-01,1808.6070967741935
2010-11-01,1862.994
2010-12-01,1922.3312903225806
2011-01-01,1867.0767741935483
2011-02-01,1882.3714285714286
2011-03-01,1881.8148387096776
2011-04-01,1809.8339999999998
2011-05-01,1800.5087096774193
2011-06-01,1783.1593333333333
2011-07-01,1761.593870967742
2011-08-01,1785.56
2011-09-01,1833.3196666666665
2011-10-01,1907.6090322580644
2011-11-01,1919.475
2011-12-01,1933.3512903225806
2012-01-01,1853.282258064516
2012-02-01,1782.7548275862068
2012-03-01,1766.3316129032257
2012-04-01,1774.249
2012-05-01,1793.2767741935484
2012-06-01,1792.5466666666666
2012-07-01,1783.820322580645
2012-08-01,1805.5232258064516
2012-09-01,1802.7463333333333
2012-10-01,1804.4009677419356
2012-11-01,1821.0136666666667
2012-12-01,1792.4948387096772
2013-01-01,1769.6725806451611
