fecha,anio,mes_num,departamento,pasajeros_aereos_internacionales
2012-06-01,2012,6,NORTE DE SANTANDER,1410
2012-06-01,2012,6,QUINDIO,2283
2012-06-01,2012,6,RISARALDA,6028
2012-06-01,2012,6,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",2622
2012-06-01,2012,6,SANTANDER,3407
2012-06-01,2012,6,TOLIMA,136
2012-06-01,2012,6,VALLE DEL CAUCA,28679
2012-07-01,2012,7,AMAZONAS,19
2012-07-01,2012,7,ANTIOQUIA,47210
2012-07-01,2012,7,ATLANTICO,11866
2012-07-01,2012,7,BOGOTA D.C.,259533
2012-07-01,2012,7,BOLIVAR,15907
2012-07-01,2012,7,CALDAS,547
2012-07-01,2012,7,CAQUETA,20
2012-07-01,2012,7,CAUCA,74
2012-07-01,2012,7,CESAR,261
2012-07-01,2012,7,CORDOBA,433
2012-07-01,2012,7,HUILA,213
2012-07-01,2012,7,LA GUAJIRA,535
2012-07-01,2012,7,MAGDALENA,655
2012-07-01,2012,7,NARINO,201
2012-07-01,2012,7,NORTE DE SANTANDER,1454
2012-07-01,2012,7,QUINDIO,2342
2012-07-01,2012,7,RISARALDA,7011
2012-07-01,2012,7,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",2901
2012-07-01,2012,7,SANTANDER,4332
2012-07-01,2012,7,TOLIMA,181
2012-07-01,2012,7,VALLE DEL CAUCA,34709
2012-08-01,2012,8,AMAZONAS,23
2012-08-01,2012,8,ANTIOQUIA,38334
2012-08-01,2012,8,ATLANTICO,9566
2012-08-01,2012,8,BOGOTA D.C.,232223
2012-08-01,2012,8,BOLIVAR,14988
2012-08-01,2012,8,CALDAS,612
2012-08-01,2012,8,CAQUETA,9
2012-08-01,2012,8,CASANARE,11
2012-08-01,2012,8,CAUCA,81
2012-08-01,2012,8,CESAR,213
2012-08-01,2012,8,CORDOBA,328
2012-08-01,2012,8,HUILA,159
2012-08-01,2012,8,LA GUAJIRA,235
2012-08-01,2012,8,MAGDALENA,615
2012-08-01,2012,8,NARINO,156
2012-08-01,2012,8,NORTE DE SANTANDER,1134
2012-08-01,2012,8,QUINDIO,2273
2012-08-01,2012,8,RISARALDA,6524
2012-08-01,2012,8,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",3069
2012-08-01,2012,8,SANTANDER,3124
2012-08-01,2012,8,TOLIMA,126
2012-08-01,2012,8,VALLE DEL CAUCA,31434
2012-09-01,2012,9,AMAZONAS,21
2012-09-01,2012,9,ANTIOQUIA,34239
2012-09-01,2012,9,ATLANTICO,7879
2012-09-01,2012,9,BOGOTA D.C.,201814
2012-09-01,2012,9,BOLIVAR,14366
2012-09-01,2012,9,CALDAS,585
2012-09-01,2012,9,CAQUETA,20
2012-09-01,2012,9,CASANARE,9
2012-09-01,2012,9,CAUCA,73
2012-09-01,2012,9,CESAR,182
2012-09-01,2012,9,CORDOBA,275
2012-09-01,2012,9,HUILA,185
2012-09-01,2012,9,LA GUAJIRA,190
2012-09-01,2012,9,MAGDALENA,548
2012-09-01,2012,9,META,2
2012-09-01,2012,9,NARINO,180
2012-09-01,2012,9,NORTE DE SANTANDER,1319
2012-09-01,2012,9,QUINDIO,2018
2012-09-01,2012,9,RISARALDA,5093
2012-09-01,2012,9,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",2986
2012-09-01,2012,9,SANTANDER,2927
2012-09-01,2012,9,TOLIMA,173
2012-09-01,2012,9,VALLE DEL CAUCA,24680
2012-10-01,2012,10,AMAZONAS,8
2012-10-01,2012,10,ANTIOQUIA,39278
2012-10-01,2012,10,ATLANTICO,8994
2012-10-01,2012,10,BOGOTA D.C.,223211
2012-10-01,2012,10,BOLIVAR,15569
2012-10-01,2012,10,CALDAS,479
2012-10-01,2012,10,CAQUETA,5
2012-10-01,2012,10,CASANARE,13
2012-10-01,2012,10,CAUCA,57
2012-10-01,2012,10,CESAR,208
2012-10-01,2012,10,CORDOBA,349
2012-10-01,2012,10,HUILA,239
2012-10-01,2012,10,LA GUAJIRA,184
2012-10-01,2012,10,MAGDALENA,562
2012-10-01,2012,10,NARINO,154
2012-10-01,2012,10,NORTE DE SANTANDER,1569
2012-10-01,2012,10,QUINDIO,2397
2012-10-01,2012,10,RISARALDA,5599
2012-10-01,2012,10,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",2814
2012-10-01,2012,10,SANTANDER,3336
2012-10-01,2012,10,TOLIMA,168
2012-10-01,2012,10,VALLE DEL CAUCA,25362
2012-11-01,2012,11,AMAZONAS,15
2012-11-01,2012,11,ANTIOQUIA,40006
2012-11-01,2012,11,ATLANTICO,8643
2012-11-01,2012,11,BOGOTA D.C.,214292
2012-11-01,2012,11,BOLIVAR,17520
2012-11-01,2012,11,CALDAS,549
2012-11-01,2012,11,CAQUETA,4
2012-11-01,2012,11,CASANARE,13
2012-11-01,2012,11,CAUCA,51
2012-11-01,2012,11,CESAR,168
2012-11-01,2012,11,CORDOBA,327
2012-11-01,2012,11,HUILA,207
2012-11-01,2012,11,LA GUAJIRA,188
2012-11-01,2012,11,MAGDALENA,659
2012-11-01,2012,11,NARINO,191
2012-11-01,2012,11,NORTE DE SANTANDER,1151
2012-11-01,2012,11,QUINDIO,2740
2012-11-01,2012,11,RISARALDA,6892
2012-11-01,2012,11,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",2596
2012-11-01,2012,11,SANTANDER,3622
2012-11-01,2012,11,TOLIMA,142
2012-11-01,2012,11,VALLE DEL CAUCA,26935
2012-12-01,2012,12,AMAZONAS,12
2012-12-01,2012,12,ANTIOQUIA,52286
2012-12-01,2012,12,ATLANTICO,12648
2012-12-01,2012,12,BOGOTA D.C.,245459
2012-12-01,2012,12,BOLIVAR,18992
2012-12-01,2012,12,CALDAS,859
2012-12-01,2012,12,CAQUETA,30
2012-12-01,2012,12,CASANARE,19
2012-12-01,2012,12,CAUCA,158
2012-12-01,2012,12,CESAR,372
2012-12-01,2012,12,CORDOBA,505
2012-12-01,2012,12,HUILA,335
2012-12-01,2012,12,LA GUAJIRA,374
2012-12-01,2012,12,MAGDALENA,749
2012-12-01,2012,12,META,1
2012-12-01,2012,12,NARINO,287
2012-12-01,2012,12,NORTE DE SANTANDER,2015
2012-12-01,2012,12,QUINDIO,3612
2012-12-01,2012,12,RISARALDA,9779
2012-12-01,2012,12,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",2430
2012-12-01,2012,12,SANTANDER,4814
2012-12-01,2012,12,TOLIMA,255
2012-12-01,2012,12,VALLE DEL CAUCA,39901
2013-01-01,2013,1,AMAZONAS,32
2013-01-01,2013,1,ANTIOQUIA,46223
2013-01-01,2013,1,ATLANTICO,10818
2013-01-01,2013,1,BOGOTA D.C.,252989
2013-01-01,2013,1,BOLIVAR,16504
2013-01-01,2013,1,CALDAS,715
2013-01-01,2013,1,CAQUETA,11
2013-01-01,2013,1,CASANARE,23
2013-01-01,2013,1,CAUCA,83
2013-01-01,2013,1,CESAR,229
2013-01-01,2013,1,CORDOBA,413
2013-01-01,2013,1,HUILA,225
2013-01-01,2013,1,LA GUAJIRA,231
2013-01-01,2013,1,MAGDALENA,678
2013-01-01,2013,1,NARINO,196
2013-01-01,2013,1,NORTE DE SANTANDER,1609
2013-01-01,2013,1,QUINDIO,2434
2013-01-01,2013,1,RISARALDA,6473
2013-01-01,2013,1,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",2491
2013-01-01,2013,1,SANTANDER,4056
2013-01-01,2013,1,TOLIMA,202
2013-01-01,2013,1,VALLE DEL CAUCA,29393
2013-02-01,2013,2,AMAZONAS,12
2013-02-01,2013,2,ANTIOQUIA,30337
2013-02-01,2013,2,ATLANTICO,9592
2013-02-01,2013,2,BOGOTA D.C.,195967
2013-02-01,2013,2,BOLIVAR,16922
2013-02-01,2013,2,CALDAS,383
2013-02-01,2013,2,CAQUETA,7
2013-02-01,2013,2,CASANARE,24
2013-02-01,2013,2,CAUCA,49
2013-02-01,2013,2,CESAR,174
2013-02-01,2013,2,CORDOBA,247
2013-02-01,2013,2,HUILA,144
2013-02-01,2013,2,LA GUAJIRA,175
2013-02-01,2013,2,MAGDALENA,649
2013-02-01,2013,2,NARINO,144
2013-02-01,2013,2,NORTE DE SANTANDER,851
2013-02-01,2013,2,QUINDIO,1981
2013-02-01,2013,2,RISARALDA,4845
2013-02-01,2013,2,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",3334
2013-02-01,2013,2,SANTANDER,2398
2013-02-01,2013,2,TOLIMA,116
2013-02-01,2013,2,VALLE DEL CAUCA,21247
2013-03-01,2013,3,AMAZONAS,13
2013-03-01,2013,3,ANTIOQUIA,34481
2013-03-01,2013,3,ATLANTICO,8467
2013-03-01,2013,3,BOGOTA D.C.,209171
2013-03-01,2013,3,BOLIVAR,16698
2013-03-01,2013,3,CALDAS,511
2013-03-01,2013,3,CAQUETA,16
2013-03-01,2013,3,CASANARE,41
2013-03-01,2013,3,CAUCA,83
2013-03-01,2013,3,CESAR,165
2013-03-01,2013,3,CORDOBA,421
2013-03-01,2013,3,HUILA,199
2013-03-01,2013,3,LA GUAJIRA,245
2013-03-01,2013,3,MAGDALENA,600
2013-03-01,2013,3,NARINO,165
2013-03-01,2013,3,NORTE DE SANTANDER,1138
2013-03-01,2013,3,QUINDIO,2284
2013-03-01,2013,3,RISARALDA,5515
2013-03-01,2013,3,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",3006
2013-03-01,2013,3,SANTANDER,2901
2013-03-01,2013,3,TOLIMA,196
2013-03-01,2013,3,VALLE DEL CAUCA,25338
2013-04-01,2013,4,AMAZONAS,11
2013-04-01,2013,4,ANTIOQUIA,35309
2013-04-01,2013,4,ATLANTICO,8180
2013-04-01,2013,4,BOGOTA D.C.,207943
2013-04-01,2013,4,BOLIVAR,14561
2013-04-01,2013,4,CALDAS,500
2013-04-01,2013,4,CAQUETA,19
2013-04-01,2013,4,CASANARE,15
2013-04-01,2013,4,CAUCA,70
2013-04-01,2013,4,CESAR,244
2013-04-01,2013,4,CORDOBA,268
2013-04-01,2013,4,GUAINIA,0
2013-04-01,2013,4,HUILA,224
2013-04-01,2013,4,LA GUAJIRA,229
2013-04-01,2013,4,MAGDALENA,593
2013-04-01,2013,4,NARINO,175
2013-04-01,2013,4,NORTE DE SANTANDER,971
2013-04-01,2013,4,QUINDIO,2299
2013-04-01,2013,4,RISARALDA,4873
2013-04-01,2013,4,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",2527
2013-04-01,2013,4,SANTANDER,2914
2013-04-01,2013,4,TOLIMA,146
2013-04-01,2013,4,VALLE DEL CAUCA,24611
2013-05-01,2013,5,AMAZONAS,8
2013-05-01,2013,5,ANTIOQUIA,38443
2013-05-01,2013,5,ATLANTICO,8655
2013-05-01,2013,5,BOGOTA D.C.,215544
2013-05-01,2013,5,BOLIVAR,15854
2013-05-01,2013,5,CALDAS,498
2013-05-01,2013,5,CAQUETA,9
2013-05-01,2013,5,CASANARE,39
2013-05-01,2013,5,CAUCA,62
2013-05-01,2013,5,CESAR,207
2013-05-01,2013,5,CORDOBA,324
2013-05-01,2013,5,HUILA,191
2013-05-01,2013,5,LA GUAJIRA,207
2013-05-01,2013,5,MAGDALENA,600
2013-05-01,2013,5,NARINO,144
2013-05-01,2013,5,NORTE DE SANTANDER,1113
2013-05-01,2013,5,QUINDIO,2087
2013-05-01,2013,5,RISARALDA,5812
2013-05-01,2013,5,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",2422
2013-05-01,2013,5,SANTANDER,3134
2013-05-01,2013,5,TOLIMA,178
2013-05-01,2013,5,VALLE DEL CAUCA,26660
2013-06-01,2013,6,AMAZONAS,24
2013-06-01,2013,6,ANTIOQUIA,46455
2013-06-01,2013,6,ATLANTICO,9668
2013-06-01,2013,6,BOGOTA D.C.,251030
2013-06-01,2013,6,BOLIVAR,14933
2013-06-01,2013,6,CALDAS,606
2013-06-01,2013,6,CAQUETA,21
2013-06-01,2013,6,CASANARE,10
2013-06-01,2013,6,CAUCA,81
2013-06-01,2013,6,CESAR,194
2013-06-01,2013,6,CORDOBA,360
2013-06-01,2013,6,HUILA,269
2013-06-01,2013,6,LA GUAJIRA,217
2013-06-01,2013,6,MAGDALENA,455
2013-06-01,2013,6,META,1
2013-06-01,2013,6,NARINO,152
2013-06-01,2013,6,NORTE DE SANTANDER,1351
2013-06-01,2013,6,QUINDIO,2307
2013-06-01,2013,6,RISARALDA,7053
2013-06-01,2013,6,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",2133
2013-06-01,2013,6,SANTANDER,3694
2013-06-01,2013,6,TOLIMA,182
