fecha,anio,mes_num,departamento,pasajeros_aereos_nacionales,n_municipios_nac
2012-04-01,2012,4,GUAINIA,925,2
2012-04-01,2012,4,GUAVIARE,805,2
2012-04-01,2012,4,HUILA,10829,1
2012-04-01,2012,4,LA GUAJIRA,7650,3
2012-04-01,2012,4,MAGDALENA,34746,1
2012-04-01,2012,4,META,2515,2
2012-04-01,2012,4,NARINO,10823,3
2012-04-01,2012,4,NORTE DE SANTANDER,31539,1
2012-04-01,2012,4,PUTUMAYO,2529,3
2012-04-01,2012,4,QUINDIO,9923,1
2012-04-01,2012,4,RISARALDA,25960,1
2012-04-01,2012,4,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",28818,2
2012-04-01,2012,4,SANTANDER,50812,2
2012-04-01,2012,4,SIN ESPECIFICAR,18,1
2012-04-01,2012,4,SUCRE,1435,3
2012-04-01,2012,4,TOLIMA,5236,3
2012-04-01,2012,4,VALLE DEL CAUCA,94058,2
2012-04-01,2012,4,VAUPES,967,4
2012-04-01,2012,4,VICHADA,1570,3
2012-05-01,2012,5,AMAZONAS,5491,4
2012-05-01,2012,5,ANTIOQUIA,169344,6
2012-05-01,2012,5,ARAUCA,4480,3
2012-05-01,2012,5,ATLANTICO,58687,1
2012-05-01,2012,5,BOGOTA D.C.,465342,1
2012-05-01,2012,5,BOLIVAR,74002,1
2012-05-01,2012,5,CALDAS,7734,1
2012-05-01,2012,5,CAQUETA,2838,3
2012-05-01,2012,5,CASANARE,13477,2
2012-05-01,2012,5,CAUCA,4100,2
2012-05-01,2012,5,CESAR,9718,1
2012-05-01,2012,5,CHOCO,11951,5
2012-05-01,2012,5,CORDOBA,21087,1
2012-05-01,2012,5,GUAINIA,902,2
2012-05-01,2012,5,GUAVIARE,708,2
2012-05-01,2012,5,HUILA,12078,1
2012-05-01,2012,5,LA GUAJIRA,7425,3
2012-05-01,2012,5,MAGDALENA,35375,1
2012-05-01,2012,5,META,2770,2
2012-05-01,2012,5,NARINO,11673,3
2012-05-01,2012,5,NORTE DE SANTANDER,31617,1
2012-05-01,2012,5,PUTUMAYO,2702,3
2012-05-01,2012,5,QUINDIO,11264,1
2012-05-01,2012,5,RISARALDA,29431,1
2012-05-01,2012,5,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",30194,2
2012-05-01,2012,5,SANTANDER,56604,2
2012-05-01,2012,5,SIN ESPECIFICAR,0,1
2012-05-01,2012,5,SUCRE,1407,3
2012-05-01,2012,5,TOLIMA,6335,2
2012-05-01,2012,5,VALLE DEL CAUCA,101452,2
2012-05-01,2012,5,VAUPES,974,4
2012-05-01,2012,5,VICHADA,1486,3
2012-06-01,2012,6,AMAZONAS,6982,4
2012-06-01,2012,6,ANTIOQUIA,199367,6
2012-06-01,2012,6,ARAUCA,4770,2
2012-06-01,2012,6,ATLANTICO,71568,1
2012-06-01,2012,6,BOGOTA D.C.,484235,1
2012-06-01,2012,6,BOLIVAR,103637,1
2012-06-01,2012,6,CALDAS,2825,1
2012-06-01,2012,6,CAQUETA,2571,3
2012-06-01,2012,6,CASANARE,13517,3
2012-06-01,2012,6,CAUCA,3936,2
2012-06-01,2012,6,CESAR,12143,2
2012-06-01,2012,6,CHOCO,13727,5
2012-06-01,2012,6,CORDOBA,23056,1
2012-06-01,2012,6,GUAINIA,1011,2
2012-06-01,2012,6,GUAVIARE,1200,2
2012-06-01,2012,6,HUILA,12095,1
2012-06-01,2012,6,LA GUAJIRA,8193,3
2012-06-01,2012,6,MAGDALENA,42784,1
2012-06-01,2012,6,META,2962,3
2012-06-01,2012,6,NARINO,12379,3
2012-06-01,2012,6,NORTE DE SANTANDER,36568,1
2012-06-01,2012,6,PUTUMAYO,2884,3
2012-06-01,2012,6,QUINDIO,11181,1
2012-06-01,2012,6,RISARALDA,37207,1
2012-06-01,2012,6,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",38311,2
2012-06-01,2012,6,SANTANDER,61445,2
2012-06-01,2012,6,SIN ESPECIFICAR,0,1
2012-06-01,2012,6,SUCRE,1857,2
2012-06-01,2012,6,TOLIMA,6076,2
2012-06-01,2012,6,VALLE DEL CAUCA,113638,2
2012-06-01,2012,6,VAUPES,955,4
2012-06-01,2012,6,VICHADA,1674,3
2012-07-01,2012,7,AMAZONAS,8158,4
2012-07-01,2012,7,ANTIOQUIA,216096,6
2012-07-01,2012,7,ARAUCA,4820,2
2012-07-01,2012,7,ATLANTICO,77517,1
2012-07-01,2012,7,BOGOTA D.C.,547217,1
2012-07-01,2012,7,BOLIVAR,116848,1
2012-07-01,2012,7,CALDAS,8693,1
2012-07-01,2012,7,CAQUETA,2993,3
2012-07-01,2012,7,CASANARE,14039,2
2012-07-01,2012,7,CAUCA,4099,2
2012-07-01,2012,7,CESAR,13870,2
2012-07-01,2012,7,CHOCO,14199,5
2012-07-01,2012,7,CORDOBA,23557,1
2012-07-01,2012,7,GUAINIA,1056,2
2012-07-01,2012,7,GUAVIARE,1179,2
2012-07-01,2012,7,HUILA,10956,1
2012-07-01,2012,7,LA GUAJIRA,8045,3
