fecha,anio,mes_num,departamento,visitantes_no_residentes,n_registros_origen,n_ciudades,n_paises_residencia
2015-04-01,2015,4,ANTIOQUIA,8469.31,259,53,103
2015-04-01,2015,4,ARAUCA,28.0,13,3,10
2015-04-01,2015,4,ATLANTICO,1744.0430000000001,99,13,68
2015-04-01,2015,4,BOGOTA D.C.,10869.094000000001,146,1,146
2015-04-01,2015,4,BOLIVAR,6386.6939999999995,140,9,111
2015-04-01,2015,4,BOYACA,229.0,87,18,31
2015-04-01,2015,4,CALDAS,478.0,56,12,36
2015-04-01,2015,4,CAQUETA,21.0,11,3,9
2015-04-01,2015,4,CASANARE,37.0,20,5,14
2015-04-01,2015,4,CAUCA,300.0,46,10,32
2015-04-01,2015,4,CESAR,264.0,38,10,24
2015-04-01,2015,4,CHOCO,143.0,38,6,28
2015-04-01,2015,4,CORDOBA,190.0,52,12,34
2015-04-01,2015,4,CUNDINAMARCA,504.0,206,44,41
2015-04-01,2015,4,GUAINIA,1.0,1,1,1
2015-04-01,2015,4,GUAVIARE,2.0,2,1,2
2015-04-01,2015,4,HUILA,183.0,52,14,27
2015-04-01,2015,4,LA GUAJIRA,153.0,54,8,33
2015-04-01,2015,4,MAGDALENA,1488.0,80,11,57
2015-04-01,2015,4,META,177.0,47,11,30
2015-04-01,2015,4,NARINO,1064.0,87,18,43
2015-04-01,2015,4,NORTE DE SANTANDER,1420.0,75,10,48
2015-04-01,2015,4,PUTUMAYO,45.0,16,7,9
2015-04-01,2015,4,QUINDIO,612.0,73,10,41
2015-04-01,2015,4,RISARALDA,1469.0,93,12,52
2015-04-01,2015,4,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",1417.597,69,2,53
2015-04-01,2015,4,SANTANDER,958.0,127,21,58
2015-04-01,2015,4,SIN ESPECIFICAR,53.0,11,2,11
2015-04-01,2015,4,SUCRE,51.0,24,5,16
2015-04-01,2015,4,TOLIMA,285.0,54,12,37
2015-04-01,2015,4,VALLE DEL CAUCA,6050.055,305,33,78
2015-04-01,2015,4,VAUPES,2.0,1,1,1
2015-04-01,2015,4,VICHADA,4.0,3,1,3
2015-05-01,2015,5,AMAZONAS,492.0,38,2,37
2015-05-01,2015,5,ANTIOQUIA,8280.388,246,38,100
2015-05-01,2015,5,ARAUCA,16.0,8,3,8
2015-05-01,2015,5,ATLANTICO,1834.19,108,14,77
2015-05-01,2015,5,BOGOTA D.C.,10309.226,132,1,132
2015-05-01,2015,5,BOLIVAR,6696.976,152,16,119
2015-05-01,2015,5,BOYACA,281.0,84,21,26
2015-05-01,2015,5,CALDAS,503.0,73,13,40
2015-05-01,2015,5,CAQUETA,20.0,11,3,9
2015-05-01,2015,5,CASANARE,29.0,15,5,11
2015-05-01,2015,5,CAUCA,468.0,53,13,30
2015-05-01,2015,5,CESAR,123.0,31,8,20
2015-05-01,2015,5,CHOCO,230.0,47,9,34
2015-05-01,2015,5,CORDOBA,121.0,34,7,23
2015-05-01,2015,5,CUNDINAMARCA,519.0,194,43,38
2015-05-01,2015,5,GUAINIA,6.0,2,1,2
2015-05-01,2015,5,GUAVIARE,2.0,2,1,2
2015-05-01,2015,5,HUILA,277.0,60,10,33
2015-05-01,2015,5,LA GUAJIRA,151.0,53,8,29
2015-05-01,2015,5,MAGDALENA,1453.0,82,14,55
2015-05-01,2015,5,META,253.0,39,10,28
2015-05-01,2015,5,NARINO,1084.0,84,15,43
2015-05-01,2015,5,NORTE DE SANTANDER,1428.0,81,11,52
2015-05-01,2015,5,PUTUMAYO,61.0,19,4,13
2015-05-01,2015,5,QUINDIO,688.0,76,9,38
2015-05-01,2015,5,RISARALDA,1509.0,89,10,52
2015-05-01,2015,5,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",1384.206,65,2,51
2015-05-01,2015,5,SANTANDER,978.0,125,19,57
2015-05-01,2015,5,SIN ESPECIFICAR,41.0,10,2,10
2015-05-01,2015,5,SUCRE,43.0,28,7,19
2015-05-01,2015,5,TOLIMA,312.0,62,15,33
2015-05-01,2015,5,VALLE DEL CAUCA,6741.884,325,35,94
2015-05-01,2015,5,VAUPES,1.0,1,1,1
2015-05-01,2015,5,VICHADA,9.0,4,1,4
2015-06-01,2015,6,AMAZONAS,534.0,32,1,32
2015-06-01,2015,6,ANTIOQUIA,9182.954,288,50,118
2015-06-01,2015,6,ARAUCA,28.0,14,3,12
2015-06-01,2015,6,ATLANTICO,2452.391,100,8,76
2015-06-01,2015,6,BOGOTA D.C.,11593.326000000001,146,1,146
2015-06-01,2015,6,BOLIVAR,6922.905,141,16,114
2015-06-01,2015,6,BOYACA,298.0,111,25,39
2015-06-01,2015,6,CALDAS,656.0,75,18,37
2015-06-01,2015,6,CAQUETA,20.0,9,2,8
2015-06-01,2015,6,CASANARE,65.0,23,6,18
2015-06-01,2015,6,CAUCA,392.0,60,14,35
2015-06-01,2015,6,CESAR,210.0,49,7,36
2015-06-01,2015,6,CHOCO,176.0,38,6,30
2015-06-01,2015,6,CORDOBA,232.0,46,12,24
2015-06-01,2015,6,CUNDINAMARCA,864.0,235,48,45
2015-06-01,2015,6,GUAINIA,7.0,3,1,3
2015-06-01,2015,6,GUAVIARE,2.0,2,1,2
2015-06-01,2015,6,HUILA,592.0,80,16,37
2015-06-01,2015,6,LA GUAJIRA,147.0,51,9,28
2015-06-01,2015,6,MAGDALENA,1364.0,79,15,54
