fecha,ise,serie_ise
2013-11-01,94.78543317600148,ajustada_estacional_y_calendario
2013-12-01,95.50482986846902,ajustada_estacional_y_calendario
2014-01-01,95.72084859593915,ajustada_estacional_y_calendario
2014-02-01,97.14117915723516,ajustada_estacional_y_calendario
2014-03-01,96.0027725080068,ajustada_estacional_y_calendario
2014-04-01,96.40165064245599,ajustada_estacional_y_calendario
2014-05-01,96.20678110957127,ajustada_estacional_y_calendario
2014-06-01,95.76816240155809,ajustada_estacional_y_calendario
2014-07-01,97.02110148170394,ajustada_estacional_y_calendario
2014-08-01,96.46800049356723,ajustada_estacional_y_calendario
2014-09-01,98.24784433676327,ajustada_estacional_y_calendario
2014-10-01,98.69677330175818,ajustada_estacional_y_calendario
2014-11-01,97.58162641552276,ajustada_estacional_y_calendario
2014-12-01,98.91456774722256,ajustada_estacional_y_calendario
2015-01-01,98.8113352418538,ajustada_estacional_y_calendario
2015-02-01,99.35799044985646,ajustada_estacional_y_calendario
2015-03-01,98.83365124904573,ajustada_estacional_y_calendario
2015-04-01,99.87914986485535,ajustada_estacional_y_calendario
2015-05-01,99.70595057255565,ajustada_estacional_y_calendario
2015-06-01,99.50484990946276,ajustada_estacional_y_calendario
2015-07-01,101.30903289132446,ajustada_estacional_y_calendario
2015-08-01,99.91513388193808,ajustada_estacional_y_calendario
2015-09-01,101.04407712980566,ajustada_estacional_y_calendario
2015-10-01,101.05972747984883,ajustada_estacional_y_calendario
2015-11-01,99.91730820302428,ajustada_estacional_y_calendario
2015-12-01,100.66179312642893,ajustada_estacional_y_calendario
2016-01-01,100.88850105909766,ajustada_estacional_y_calendario
2016-02-01,102.56923906827804,ajustada_estacional_y_calendario
2016-03-01,101.71486006511306,ajustada_estacional_y_calendario
2016-04-01,101.4360628378245,ajustada_estacional_y_calendario
2016-05-01,101.8046563784321,ajustada_estacional_y_calendario
2016-06-01,101.8161981783162,ajustada_estacional_y_calendario
2016-07-01,99.67288429363097,ajustada_estacional_y_calendario
2016-08-01,103.21905857214928,ajustada_estacional_y_calendario
2016-09-01,103.65246301661134,ajustada_estacional_y_calendario
2016-10-01,102.50955901470245,ajustada_estacional_y_calendario
2016-11-01,103.12425995610988,ajustada_estacional_y_calendario
2016-12-01,103.85929454455271,ajustada_estacional_y_calendario
2017-01-01,102.4556870146442,ajustada_estacional_y_calendario
2017-02-01,103.37998832481365,ajustada_estacional_y_calendario
2017-03-01,102.5523785009166,ajustada_estacional_y_calendario
2017-04-01,102.6440122535011,ajustada_estacional_y_calendario
2017-05-01,103.21534535305477,ajustada_estacional_y_calendario
2017-06-01,104.48346769646875,ajustada_estacional_y_calendario
2017-07-01,103.08185580783682,ajustada_estacional_y_calendario
2017-08-01,104.15686810923732,ajustada_estacional_y_calendario
2017-09-01,104.21726254610422,ajustada_estacional_y_calendario
2017-10-01,103.6151707637491,ajustada_estacional_y_calendario
2017-11-01,104.01656462423503,ajustada_estacional_y_calendario
2017-12-01,105.4347051078852,ajustada_estacional_y_calendario
2018-01-01,104.09439679195,ajustada_estacional_y_calendario
2018-02-01,105.02472755256905,ajustada_estacional_y_calendario
2018-03-01,105.80990798872627,ajustada_estacional_y_calendario
2018-04-01,105.03599280262645,ajustada_estacional_y_calendario
2018-05-01,105.59608997553799,ajustada_estacional_y_calendario
2018-06-01,106.21530166184327,ajustada_estacional_y_calendario
2018-07-01,105.99133102400612,ajustada_estacional_y_calendario
2018-08-01,107.53365298480095,ajustada_estacional_y_calendario
2018-09-01,107.12968762641944,ajustada_estacional_y_calendario
2018-10-01,107.26557240906548,ajustada_estacional_y_calendario
2018-11-01,107.55321514308855,ajustada_estacional_y_calendario
2018-12-01,107.26729825087746,ajustada_estacional_y_calendario
2019-01-01,107.91044111623897,ajustada_estacional_y_calendario
2019-02-01,108.8728535812209,ajustada_estacional_y_calendario
2019-03-01,107.50670669146002,ajustada_estacional_y_calendario
2019-04-01,108.97382426509658,ajustada_estacional_y_calendario
2019-05-01,110.02115187983689,ajustada_estacional_y_calendario
2019-06-01,108.83693482124966,ajustada_estacional_y_calendario
2019-07-01,110.46975860361437,ajustada_estacional_y_calendario
2019-08-01,110.46033307448869,ajustada_estacional_y_calendario
2019-09-01,109.52167082277262,ajustada_estacional_y_calendario
2019-10-01,110.54012570246216,ajustada_estacional_y_calendario
2019-11-01,110.04587487213469,ajustada_estacional_y_calendario
2019-12-01,110.46156247054736,ajustada_estacional_y_calendario
2020-01-01,111.566809096874,ajustada_estacional_y_calendario
2020-02-01,111.76581199979006,ajustada_estacional_y_calendario
2020-03-01,100.72289550534622,ajustada_estacional_y_calendario
2020-04-01,86.8639942210713,ajustada_estacional_y_calendario
2020-05-01,90.90201294320373,ajustada_estacional_y_calendario
2020-06-01,95.49319728407704,ajustada_estacional_y_calendario
2020-07-01,98.84916555595854,ajustada_estacional_y_calendario
2020-08-01,99.2817256894318,ajustada_estacional_y_calendario
2020-09-01,102.78175874571502,ajustada_estacional_y_calendario
2020-10-01,105.37139635888644,ajustada_estacional_y_calendario
2020-11-01,106.07024213767717,ajustada_estacional_y_calendario
2020-12-01,108.11392726377203,ajustada_estacional_y_calendario
2021-01-01,107.65069822543798,ajustada_estacional_y_calendario
2021-02-01,109.88907136238757,ajustada_estacional_y_calendario
2021-03-01,111.86626676044791,ajustada_estacional_y_calendario
2021-04-01,108.69857011543071,ajustada_estacional_y_calendario
2021-05-01,102.81271364105271,ajustada_estacional_y_calendario
2021-06-01,110.52563329964312,ajustada_estacional_y_calendario
2021-07-01,111.93433937631593,ajustada_estacional_y_calendario
2021-08-01,110.96611813928862,ajustada_estacional_y_calendario
2021-09-01,116.73529234643635,ajustada_estacional_y_calendario
2021-10-01,115.91385167763339,ajustada_estacional_y_calendario
2021-11-01,117.18682953278608,ajustada_estacional_y_calendario
2021-12-01,119.06639297908572,ajustada_estacional_y_calendario
2022-01-01,115.87433567520759,ajustada_estacional_y_calendario
2022-02-01,117.40153189789653,ajustada_estacional_y_calendario
2022-03-01,119.46308781268407,ajustada_estacional_y_calendario
2022-04-01,119.64967600365057,ajustada_estacional_y_calendario
2022-05-01,119.80043043410879,ajustada_estacional_y_calendario
2022-06-01,119.32481181445185,ajustada_estacional_y_calendario
2022-07-01,118.53746595603721,ajustada_estacional_y_calendario
2022-08-01,120.44105084628838,ajustada_estacional_y_calendario
2022-09-01,121.73056455243858,ajustada_estacional_y_calendario
2022-10-01,120.487641032206,ajustada_estacional_y_calendario
2022-11-01,117.26918005962226,ajustada_estacional_y_calendario
2022-12-01,119.44244820610616,ajustada_estacional_y_calendario
2023-01-01,120.52266606126413,ajustada_estacional_y_calendario
2023-02-01,120.45464201850753,ajustada_estacional_y_calendario
2023-03-01,120.99054576276723,ajustada_estacional_y_calendario
2023-04-01,118.47403471861261,ajustada_estacional_y_calendario
2023-05-01,120.00431023619535,ajustada_estacional_y_calendario
2023-06-01,122.55605126897218,ajustada_estacional_y_calendario
2023-07-01,119.24242605269129,ajustada_estacional_y_calendario
2023-08-01,121.11994769235348,ajustada_estacional_y_calendario
2023-09-01,121.27866870113424,ajustada_estacional_y_calendario
2023-10-01,119.70778530306774,ajustada_estacional_y_calendario
2023-11-01,121.95662137468817,ajustada_estacional_y_calendario
2023-12-01,120.55908346319649,ajustada_estacional_y_calendario
2024-01-01,122.43012974347567,ajustada_estacional_y_calendario
2024-02-01,122.05991787278452,ajustada_estacional_y_calendario
2024-03-01,120.46362343378958,ajustada_estacional_y_calendario
2024-04-01,123.23479612063146,ajustada_estacional_y_calendario
2024-05-01,122.77610184984673,ajustada_estacional_y_calendario
