fecha,fecha_predicha,departamento,target,prediccion,error,error_abs,horizonte,meses_horizonte
2024-10-01,2025-01-01,AMAZONAS,666.0,603.96655,62.033447265625,62.033447265625,h3,3
2024-11-01,2025-02-01,AMAZONAS,683.0,543.01196,139.988037109375,139.988037109375,h3,3
2024-12-01,2025-03-01,AMAZONAS,489.0,501.3086,-12.30859375,12.30859375,h3,3
2025-01-01,2025-04-01,AMAZONAS,638.0,519.54553,118.4544677734375,118.4544677734375,h3,3
2025-02-01,2025-05-01,AMAZONAS,656.0,536.04614,119.953857421875,119.953857421875,h3,3
2025-03-01,2025-06-01,AMAZONAS,645.0,584.26465,60.7353515625,60.7353515625,h3,3
2025-04-01,2025-07-01,AMAZONAS,1196.0,580.76013,615.2398681640625,615.2398681640625,h3,3
2025-05-01,2025-08-01,AMAZONAS,902.0,562.785,339.21502685546875,339.21502685546875,h3,3
2025-06-01,2025-09-01,AMAZONAS,523.0,488.7976,34.202392578125,34.202392578125,h3,3
2024-10-01,2025-01-01,ANTIOQUIA,14004.848,16982.814,-2977.966453125,2977.966453125,h3,3
2024-11-01,2025-02-01,ANTIOQUIA,13308.706,16737.857,-3429.151421875,3429.151421875,h3,3
2024-12-01,2025-03-01,ANTIOQUIA,14763.29,16838.846,-2075.555703124999,2075.555703124999,h3,3
2025-01-01,2025-04-01,ANTIOQUIA,13055.229,16414.61,-3359.3803750000006,3359.3803750000006,h3,3
2025-02-01,2025-05-01,ANTIOQUIA,15429.355,16907.297,-1477.9418750000004,1477.9418750000004,h3,3
2025-03-01,2025-06-01,ANTIOQUIA,15162.51,17314.322,-2151.812265625,2151.812265625,h3,3
2025-04-01,2025-07-01,ANTIOQUIA,17020.406,15349.58,1670.825921874999,1670.825921874999,h3,3
2025-05-01,2025-08-01,ANTIOQUIA,13670.263,15572.559,-1902.2955937499992,1902.2955937499992,h3,3
2025-06-01,2025-09-01,ANTIOQUIA,12567.304,16796.428,-4229.123734375,4229.123734375,h3,3
2024-10-01,2025-01-01,ARAUCA,102.0,111.88509,-9.885093688964844,9.885093688964844,h3,3
2024-11-01,2025-02-01,ARAUCA,107.0,94.97023,12.029769897460938,12.029769897460938,h3,3
2024-12-01,2025-03-01,ARAUCA,85.0,139.13376,-54.133758544921875,54.133758544921875,h3,3
2025-01-01,2025-04-01,ARAUCA,95.0,90.85699,4.143013000488281,4.143013000488281,h3,3
2025-02-01,2025-05-01,ARAUCA,63.0,83.81296,-20.812957763671875,20.812957763671875,h3,3
2025-03-01,2025-06-01,ARAUCA,80.0,152.73401,-72.7340087890625,72.7340087890625,h3,3
2025-04-01,2025-07-01,ARAUCA,78.0,123.8733,-45.87329864501953,45.87329864501953,h3,3
2025-05-01,2025-08-01,ARAUCA,85.0,123.421684,-38.42168426513672,38.42168426513672,h3,3
2025-06-01,2025-09-01,ARAUCA,86.0,70.02998,15.970016479492188,15.970016479492188,h3,3
2024-10-01,2025-01-01,ATLANTICO,4712.804,5361.9795,-649.1754921874999,649.1754921874999,h3,3
2024-11-01,2025-02-01,ATLANTICO,5991.48,5495.6904,495.78957031249956,495.78957031249956,h3,3
2024-12-01,2025-03-01,ATLANTICO,4713.423,5922.7793,-1209.3562968750002,1209.3562968750002,h3,3
2025-01-01,2025-04-01,ATLANTICO,3902.756,5612.8594,-1710.1033750000001,1710.1033750000001,h3,3
2025-02-01,2025-05-01,ATLANTICO,3674.134,4670.8022,-996.66824609375,996.66824609375,h3,3
2025-03-01,2025-06-01,ATLANTICO,4930.079,5088.8447,-158.76572656250028,158.76572656250028,h3,3
2025-04-01,2025-07-01,ATLANTICO,4840.081,4884.4893,-44.40825781249987,44.40825781249987,h3,3
2025-05-01,2025-08-01,ATLANTICO,5148.363,4548.722,599.6408320312503,599.6408320312503,h3,3
2025-06-01,2025-09-01,ATLANTICO,3984.588,4678.835,-694.2469609374998,694.2469609374998,h3,3
2024-10-01,2025-01-01,BOGOTA D.C.,14630.587,13310.575,1320.0118046874995,1320.0118046874995,h3,3
2024-11-01,2025-02-01,BOGOTA D.C.,13839.518,13799.6875,39.83050000000003,39.83050000000003,h3,3
2024-12-01,2025-03-01,BOGOTA D.C.,14612.969,13182.915,1430.0539609374991,1430.0539609374991,h3,3
2025-01-01,2025-04-01,BOGOTA D.C.,12898.67,13225.446,-326.7762890624999,326.7762890624999,h3,3
2025-02-01,2025-05-01,BOGOTA D.C.,12805.82,13083.713,-277.8928906250003,277.8928906250003,h3,3
2025-03-01,2025-06-01,BOGOTA D.C.,12749.195,13174.2,-425.0051953125003,425.0051953125003,h3,3
2025-04-01,2025-07-01,BOGOTA D.C.,13926.205,12983.001,943.2040234374999,943.2040234374999,h3,3
2025-05-01,2025-08-01,BOGOTA D.C.,13697.02,12985.13,711.8901171875004,711.8901171875004,h3,3
2025-06-01,2025-09-01,BOGOTA D.C.,12840.289,12797.125,43.16400000000067,43.16400000000067,h3,3
2024-10-01,2025-01-01,BOLIVAR,12123.907,11767.247,356.65992968749924,356.65992968749924,h3,3
2024-11-01,2025-02-01,BOLIVAR,11315.376,11807.508,-492.1318124999998,492.1318124999998,h3,3
2024-12-01,2025-03-01,BOLIVAR,11889.379,11453.925,435.4541953125008,435.4541953125008,h3,3
2025-01-01,2025-04-01,BOLIVAR,8128.382,11832.622,-3704.2400703125004,3704.2400703125004,h3,3
2025-02-01,2025-05-01,BOLIVAR,9072.283,11594.199,-2521.9162187500006,2521.9162187500006,h3,3
2025-03-01,2025-06-01,BOLIVAR,9633.944,11435.455,-1801.5110781250005,1801.5110781250005,h3,3
