fecha,fecha_predicha,departamento,target,prediccion,error,error_abs,horizonte,meses_horizonte
2024-07-01,2025-01-01,AMAZONAS,666.0,894.5973,-228.5972900390625,228.5972900390625,h6,6
2024-08-01,2025-02-01,AMAZONAS,683.0,670.13306,12.866943359375,12.866943359375,h6,6
2024-09-01,2025-03-01,AMAZONAS,489.0,685.9287,-196.9287109375,196.9287109375,h6,6
2024-10-01,2025-04-01,AMAZONAS,638.0,601.01135,36.9886474609375,36.9886474609375,h6,6
2024-11-01,2025-05-01,AMAZONAS,656.0,705.3134,-49.31341552734375,49.31341552734375,h6,6
2024-12-01,2025-06-01,AMAZONAS,645.0,643.96436,1.03564453125,1.03564453125,h6,6
2025-01-01,2025-07-01,AMAZONAS,1196.0,730.7861,465.21392822265625,465.21392822265625,h6,6
2025-02-01,2025-08-01,AMAZONAS,902.0,611.14166,290.85833740234375,290.85833740234375,h6,6
2025-03-01,2025-09-01,AMAZONAS,523.0,512.4499,10.55010986328125,10.55010986328125,h6,6
2024-07-01,2025-01-01,ANTIOQUIA,14004.848,16104.452,-2099.6041484375,2099.6041484375,h6,6
2024-08-01,2025-02-01,ANTIOQUIA,13308.706,15038.047,-1729.3408749999999,1729.3408749999999,h6,6
2024-09-01,2025-03-01,ANTIOQUIA,14763.29,13888.91,874.3798437500009,874.3798437500009,h6,6
2024-10-01,2025-04-01,ANTIOQUIA,13055.229,15584.087,-2528.8579140625006,2528.8579140625006,h6,6
2024-11-01,2025-05-01,ANTIOQUIA,15429.355,15672.33,-242.97507812500044,242.97507812500044,h6,6
2024-12-01,2025-06-01,ANTIOQUIA,15162.51,15746.418,-583.9079687499998,583.9079687499998,h6,6
2025-01-01,2025-07-01,ANTIOQUIA,17020.406,15998.358,1022.047601562499,1022.047601562499,h6,6
2025-02-01,2025-08-01,ANTIOQUIA,13670.263,16498.086,-2827.822937499999,2827.822937499999,h6,6
2025-03-01,2025-09-01,ANTIOQUIA,12567.304,15507.169,-2939.8649453125,2939.8649453125,h6,6
2024-07-01,2025-01-01,ARAUCA,102.0,152.85529,-50.85528564453125,50.85528564453125,h6,6
2024-08-01,2025-02-01,ARAUCA,107.0,104.18984,2.8101577758789062,2.8101577758789062,h6,6
2024-09-01,2025-03-01,ARAUCA,85.0,115.49813,-30.498130798339844,30.498130798339844,h6,6
2024-10-01,2025-04-01,ARAUCA,95.0,105.83803,-10.838027954101562,10.838027954101562,h6,6
2024-11-01,2025-05-01,ARAUCA,63.0,58.989502,4.010498046875,4.010498046875,h6,6
2024-12-01,2025-06-01,ARAUCA,80.0,106.23267,-26.23267364501953,26.23267364501953,h6,6
2025-01-01,2025-07-01,ARAUCA,78.0,94.72051,-16.72051239013672,16.72051239013672,h6,6
2025-02-01,2025-08-01,ARAUCA,85.0,89.4861,-4.4860992431640625,4.4860992431640625,h6,6
2025-03-01,2025-09-01,ARAUCA,86.0,90.686554,-4.686553955078125,4.686553955078125,h6,6
2024-07-01,2025-01-01,ATLANTICO,4712.804,4866.087,-153.2829140624999,153.2829140624999,h6,6
2024-08-01,2025-02-01,ATLANTICO,5991.48,5104.472,887.0078320312496,887.0078320312496,h6,6
2024-09-01,2025-03-01,ATLANTICO,4713.423,4843.55,-130.12680468750023,130.12680468750023,h6,6
2024-10-01,2025-04-01,ATLANTICO,3902.756,5269.2,-1366.4441953125001,1366.4441953125001,h6,6
2024-11-01,2025-05-01,ATLANTICO,3674.134,4782.3433,-1108.20926171875,1108.20926171875,h6,6
2024-12-01,2025-06-01,ATLANTICO,4930.079,5332.773,-402.6939492187503,402.6939492187503,h6,6
2025-01-01,2025-07-01,ATLANTICO,4840.081,4531.645,308.43598046875013,308.43598046875013,h6,6
2025-02-01,2025-08-01,ATLANTICO,5148.363,4540.6987,607.6642695312503,607.6642695312503,h6,6
2025-03-01,2025-09-01,ATLANTICO,3984.588,4320.702,-336.1141484374998,336.1141484374998,h6,6
2024-07-01,2025-01-01,BOGOTA D.C.,14630.587,12615.522,2015.0645390624995,2015.0645390624995,h6,6
2024-08-01,2025-02-01,BOGOTA D.C.,13839.518,12977.62,861.8978828125,861.8978828125,h6,6
2024-09-01,2025-03-01,BOGOTA D.C.,14612.969,12987.975,1624.9943906249991,1624.9943906249991,h6,6
2024-10-01,2025-04-01,BOGOTA D.C.,12898.67,12406.688,491.9815234375001,491.9815234375001,h6,6
2024-11-01,2025-05-01,BOGOTA D.C.,12805.82,12283.589,522.2311328124997,522.2311328124997,h6,6
2024-12-01,2025-06-01,BOGOTA D.C.,12749.195,12343.079,406.1158984374997,406.1158984374997,h6,6
2025-01-01,2025-07-01,BOGOTA D.C.,13926.205,12538.434,1387.77140625,1387.77140625,h6,6
2025-02-01,2025-08-01,BOGOTA D.C.,13697.02,13262.549,434.47117187500044,434.47117187500044,h6,6
2025-03-01,2025-09-01,BOGOTA D.C.,12840.289,12333.611,506.67767187500067,506.67767187500067,h6,6
2024-07-01,2025-01-01,BOLIVAR,12123.907,11909.488,214.41871874999924,214.41871874999924,h6,6
2024-08-01,2025-02-01,BOLIVAR,11315.376,11622.344,-306.9677499999998,306.9677499999998,h6,6
2024-09-01,2025-03-01,BOLIVAR,11889.379,11700.482,188.89657812500081,188.89657812500081,h6,6
2024-10-01,2025-04-01,BOLIVAR,8128.382,11321.291,-3192.9090156250004,3192.9090156250004,h6,6
2024-11-01,2025-05-01,BOLIVAR,9072.283,10685.337,-1613.0539140625006,1613.0539140625006,h6,6
2024-12-01,2025-06-01,BOLIVAR,9633.944,11186.887,-1552.9427187500005,1552.9427187500005,h6,6
2025-01-01,2025-07-01,BOLIVAR,7547.281,11145.195,-3597.9143125,3597.9143125,h6,6
2025-02-01,2025-08-01,BOLIVAR,8433.849,10936.543,-2502.69396875,2502.69396875,h6,6
2025-03-01,2025-09-01,BOLIVAR,8240.879,11001.253,-2760.373929687499,2760.373929687499,h6,6
2024-07-01,2025-01-01,BOYACA,787.0,1009.08295,-222.08294677734375,222.08294677734375,h6,6
2024-08-01,2025-02-01,BOYACA,788.0,861.5914,-73.59136962890625,73.59136962890625,h6,6
2024-09-01,2025-03-01,BOYACA,646.0,818.6145,-172.614501953125,172.614501953125,h6,6
2024-10-01,2025-04-01,BOYACA,634.0,747.12396,-113.12396240234375,113.12396240234375,h6,6
2024-11-01,2025-05-01,BOYACA,708.0,844.5943,-136.59429931640625,136.59429931640625,h6,6
2024-12-01,2025-06-01,BOYACA,736.0,1025.1189,-289.118896484375,289.118896484375,h6,6
2025-01-01,2025-07-01,BOYACA,1150.0,1120.3708,29.629150390625,29.629150390625,h6,6
2025-02-01,2025-08-01,BOYACA,875.0,919.7793,-44.779296875,44.779296875,h6,6
2025-03-01,2025-09-01,BOYACA,797.0,886.1099,-89.10992431640625,89.10992431640625,h6,6
2024-07-01,2025-01-01,CALDAS,1265.0,1174.5118,90.4881591796875,90.4881591796875,h6,6
2024-08-01,2025-02-01,CALDAS,827.0,807.60693,19.39306640625,19.39306640625,h6,6
2024-09-01,2025-03-01,CALDAS,865.0,888.0681,-23.068115234375,23.068115234375,h6,6
2024-10-01,2025-04-01,CALDAS,984.0,809.47943,174.52056884765625,174.52056884765625,h6,6
2024-11-01,2025-05-01,CALDAS,975.0,877.4619,97.5380859375,97.5380859375,h6,6
2024-12-01,2025-06-01,CALDAS,1198.0,1278.1088,-80.1087646484375,80.1087646484375,h6,6
2025-01-01,2025-07-01,CALDAS,1388.0,1421.7391,-33.7391357421875,33.7391357421875,h6,6
2025-02-01,2025-08-01,CALDAS,1308.0,956.58887,351.4111328125,351.4111328125,h6,6
2025-03-01,2025-09-01,CALDAS,1093.0,954.1867,138.81329345703125,138.81329345703125,h6,6
2024-07-01,2025-01-01,CAQUETA,137.0,152.48909,-15.489089965820312,15.489089965820312,h6,6
2024-08-01,2025-02-01,CAQUETA,124.0,140.8957,-16.895706176757812,16.895706176757812,h6,6
2024-09-01,2025-03-01,CAQUETA,126.0,153.17973,-27.179733276367188,27.179733276367188,h6,6
2024-10-01,2025-04-01,CAQUETA,120.0,126.492714,-6.492713928222656,6.492713928222656,h6,6
2024-11-01,2025-05-01,CAQUETA,57.0,90.24051,-33.240509033203125,33.240509033203125,h6,6
2024-12-01,2025-06-01,CAQUETA,134.0,126.12962,7.8703765869140625,7.8703765869140625,h6,6
2025-01-01,2025-07-01,CAQUETA,134.0,135.28508,-1.2850799560546875,1.2850799560546875,h6,6
2025-02-01,2025-08-01,CAQUETA,97.0,116.389084,-19.389083862304688,19.389083862304688,h6,6
2025-03-01,2025-09-01,CAQUETA,94.0,108.957596,-14.957595825195312,14.957595825195312,h6,6
2024-07-01,2025-01-01,CASANARE,220.0,180.76184,39.2381591796875,39.2381591796875,h6,6
2024-08-01,2025-02-01,CASANARE,146.0,188.69075,-42.69075012207031,42.69075012207031,h6,6
2024-09-01,2025-03-01,CASANARE,149.0,141.83092,7.1690826416015625,7.1690826416015625,h6,6
2024-10-01,2025-04-01,CASANARE,146.0,165.66579,-19.665786743164062,19.665786743164062,h6,6
2024-11-01,2025-05-01,CASANARE,100.0,123.75821,-23.758209228515625,23.758209228515625,h6,6
2024-12-01,2025-06-01,CASANARE,101.0,177.08292,-76.08291625976562,76.08291625976562,h6,6
2025-01-01,2025-07-01,CASANARE,171.0,275.71262,-104.71261596679688,104.71261596679688,h6,6
2025-02-01,2025-08-01,CASANARE,157.0,268.4229,-111.42291259765625,111.42291259765625,h6,6
2025-03-01,2025-09-01,CASANARE,103.0,237.41458,-134.41458129882812,134.41458129882812,h6,6
2024-07-01,2025-01-01,CAUCA,523.0,492.44644,30.553558349609375,30.553558349609375,h6,6
2024-08-01,2025-02-01,CAUCA,383.0,477.80032,-94.80032348632812,94.80032348632812,h6,6
2024-09-01,2025-03-01,CAUCA,404.0,366.7778,37.222198486328125,37.222198486328125,h6,6
2024-10-01,2025-04-01,CAUCA,518.0,409.33167,108.6683349609375,108.6683349609375,h6,6
2024-11-01,2025-05-01,CAUCA,375.0,434.8634,-59.8634033203125,59.8634033203125,h6,6
2024-12-01,2025-06-01,CAUCA,544.0,562.6644,-18.6644287109375,18.6644287109375,h6,6
2025-01-01,2025-07-01,CAUCA,571.0,403.3745,167.62548828125,167.62548828125,h6,6
2025-02-01,2025-08-01,CAUCA,642.0,316.88153,325.11846923828125,325.11846923828125,h6,6
2025-03-01,2025-09-01,CAUCA,399.0,342.8021,56.197906494140625,56.197906494140625,h6,6
2024-07-01,2025-01-01,CESAR,391.0,494.57526,-103.57525634765625,103.57525634765625,h6,6
2024-08-01,2025-02-01,CESAR,357.0,460.95032,-103.9503173828125,103.9503173828125,h6,6
2024-09-01,2025-03-01,CESAR,342.0,334.74893,7.251068115234375,7.251068115234375,h6,6
2024-10-01,2025-04-01,CESAR,793.0,442.58862,350.411376953125,350.411376953125,h6,6
2024-11-01,2025-05-01,CESAR,707.0,453.61487,253.3851318359375,253.3851318359375,h6,6
2024-12-01,2025-06-01,CESAR,472.0,496.98755,-24.987548828125,24.987548828125,h6,6
2025-01-01,2025-07-01,CESAR,456.0,523.2978,-67.29779052734375,67.29779052734375,h6,6
2025-02-01,2025-08-01,CESAR,520.0,516.2341,3.76593017578125,3.76593017578125,h6,6
2025-03-01,2025-09-01,CESAR,342.0,468.6665,-126.66650390625,126.66650390625,h6,6
2024-07-01,2025-01-01,CHOCO,329.0,124.038414,204.96158599853516,204.96158599853516,h6,6
2024-08-01,2025-02-01,CHOCO,296.0,194.4276,101.57240295410156,101.57240295410156,h6,6
2024-09-01,2025-03-01,CHOCO,304.0,114.93384,189.066162109375,189.066162109375,h6,6
2024-10-01,2025-04-01,CHOCO,280.0,149.33498,130.66502380371094,130.66502380371094,h6,6
2024-11-01,2025-05-01,CHOCO,293.0,210.40436,82.59564208984375,82.59564208984375,h6,6
2024-12-01,2025-06-01,CHOCO,278.0,210.59216,67.4078369140625,67.4078369140625,h6,6
2025-01-01,2025-07-01,CHOCO,185.0,287.26053,-102.26052856445312,102.26052856445312,h6,6
2025-02-01,2025-08-01,CHOCO,327.0,268.9184,58.08160400390625,58.08160400390625,h6,6
2025-03-01,2025-09-01,CHOCO,213.0,250.77477,-37.77476501464844,37.77476501464844,h6,6
2024-07-01,2025-01-01,CORDOBA,340.0,419.6534,-79.65341186523438,79.65341186523438,h6,6
2024-08-01,2025-02-01,CORDOBA,373.0,369.27045,3.72955322265625,3.72955322265625,h6,6
2024-09-01,2025-03-01,CORDOBA,786.0,284.80576,501.1942443847656,501.1942443847656,h6,6
2024-10-01,2025-04-01,CORDOBA,328.0,361.72983,-33.729827880859375,33.729827880859375,h6,6
2024-11-01,2025-05-01,CORDOBA,649.0,379.86133,269.138671875,269.138671875,h6,6
2024-12-01,2025-06-01,CORDOBA,870.0,496.66797,373.33203125,373.33203125,h6,6
2025-01-01,2025-07-01,CORDOBA,479.0,461.72858,17.27142333984375,17.27142333984375,h6,6
2025-02-01,2025-08-01,CORDOBA,448.0,407.3878,40.612213134765625,40.612213134765625,h6,6
2025-03-01,2025-09-01,CORDOBA,324.0,545.7442,-221.74420166015625,221.74420166015625,h6,6
2024-07-01,2025-01-01,CUNDINAMARCA,2394.0,2659.0498,-265.0498046875,265.0498046875,h6,6
2024-08-01,2025-02-01,CUNDINAMARCA,2370.0,2616.7983,-246.79833984375,246.79833984375,h6,6
2024-09-01,2025-03-01,CUNDINAMARCA,2227.0,2514.834,-287.833984375,287.833984375,h6,6
2024-10-01,2025-04-01,CUNDINAMARCA,2650.0,2555.8394,94.16064453125,94.16064453125,h6,6
2024-11-01,2025-05-01,CUNDINAMARCA,2814.0,2453.2085,360.79150390625,360.79150390625,h6,6
2024-12-01,2025-06-01,CUNDINAMARCA,2891.0,2793.4604,97.53955078125,97.53955078125,h6,6
2025-01-01,2025-07-01,CUNDINAMARCA,3455.0,2589.3186,865.681396484375,865.681396484375,h6,6
2025-02-01,2025-08-01,CUNDINAMARCA,3298.0,2508.615,789.385009765625,789.385009765625,h6,6
2025-03-01,2025-09-01,CUNDINAMARCA,2088.0,2249.3826,-161.382568359375,161.382568359375,h6,6
2024-07-01,2025-01-01,GUAINIA,16.0,41.001663,-25.001663208007812,25.001663208007812,h6,6
2024-08-01,2025-02-01,GUAINIA,20.0,14.083879,5.916120529174805,5.916120529174805,h6,6
2024-09-01,2025-03-01,GUAINIA,18.0,30.401154,-12.401153564453125,12.401153564453125,h6,6
2024-10-01,2025-04-01,GUAINIA,12.0,19.807636,-7.807636260986328,7.807636260986328,h6,6
2024-11-01,2025-05-01,GUAINIA,9.0,2.4404948,6.559505224227905,6.559505224227905,h6,6
2024-12-01,2025-06-01,GUAINIA,6.0,7.4830546,-1.4830546379089355,1.4830546379089355,h6,6
2025-01-01,2025-07-01,GUAINIA,7.0,62.20702,-55.2070198059082,55.2070198059082,h6,6
2025-02-01,2025-08-01,GUAINIA,19.0,2.897799,16.102200984954834,16.102200984954834,h6,6
2025-03-01,2025-09-01,GUAINIA,7.0,10.728973,-3.728973388671875,3.728973388671875,h6,6
2024-07-01,2025-01-01,GUAVIARE,12.0,29.599577,-17.599576950073242,17.599576950073242,h6,6
2024-08-01,2025-02-01,GUAVIARE,7.0,34.74739,-27.747390747070312,27.747390747070312,h6,6
2024-09-01,2025-03-01,GUAVIARE,16.0,55.763077,-39.76307678222656,39.76307678222656,h6,6
2024-10-01,2025-04-01,GUAVIARE,5.0,39.977417,-34.9774169921875,34.9774169921875,h6,6
2024-11-01,2025-05-01,GUAVIARE,10.0,23.005861,-13.005861282348633,13.005861282348633,h6,6
2024-12-01,2025-06-01,GUAVIARE,11.0,10.743679,0.2563209533691406,0.2563209533691406,h6,6
2025-01-01,2025-07-01,GUAVIARE,9.0,11.597252,-2.5972518920898438,2.5972518920898438,h6,6
2025-02-01,2025-08-01,GUAVIARE,14.0,1.3291966,12.670803427696228,12.670803427696228,h6,6
2025-03-01,2025-09-01,GUAVIARE,9.0,27.831413,-18.83141326904297,18.83141326904297,h6,6
2024-07-01,2025-01-01,HUILA,426.0,595.2827,-169.28271484375,169.28271484375,h6,6
2024-08-01,2025-02-01,HUILA,415.0,548.4814,-133.48138427734375,133.48138427734375,h6,6
2024-09-01,2025-03-01,HUILA,441.0,425.3884,15.611602783203125,15.611602783203125,h6,6
2024-10-01,2025-04-01,HUILA,416.0,503.22885,-87.22885131835938,87.22885131835938,h6,6
2024-11-01,2025-05-01,HUILA,400.0,542.66156,-142.66156005859375,142.66156005859375,h6,6
2024-12-01,2025-06-01,HUILA,945.0,729.60205,215.39794921875,215.39794921875,h6,6
2025-01-01,2025-07-01,HUILA,578.0,684.41223,-106.4122314453125,106.4122314453125,h6,6
