fecha,fecha_predicha,departamento,target,prediccion,error,error_abs,horizonte,meses_horizonte
2024-12-01,2025-01-01,AMAZONAS,666.0,574.7468,91.253173828125,91.253173828125,h1,1
2025-01-01,2025-02-01,AMAZONAS,683.0,692.7646,-9.76458740234375,9.76458740234375,h1,1
2025-02-01,2025-03-01,AMAZONAS,489.0,734.0905,-245.09051513671875,245.09051513671875,h1,1
2025-03-01,2025-04-01,AMAZONAS,638.0,508.08606,129.9139404296875,129.9139404296875,h1,1
2025-04-01,2025-05-01,AMAZONAS,656.0,655.3776,0.62237548828125,0.62237548828125,h1,1
2025-05-01,2025-06-01,AMAZONAS,645.0,772.6823,-127.68231201171875,127.68231201171875,h1,1
2025-06-01,2025-07-01,AMAZONAS,1196.0,725.73236,470.26763916015625,470.26763916015625,h1,1
2025-07-01,2025-08-01,AMAZONAS,902.0,1034.9901,-132.9901123046875,132.9901123046875,h1,1
2025-08-01,2025-09-01,AMAZONAS,523.0,790.72925,-267.729248046875,267.729248046875,h1,1
2024-12-01,2025-01-01,ANTIOQUIA,14004.848,17386.55,-3381.70278125,3381.70278125,h1,1
2025-01-01,2025-02-01,ANTIOQUIA,13308.706,15748.741,-2440.0352109375,2440.0352109375,h1,1
2025-02-01,2025-03-01,ANTIOQUIA,14763.29,15822.394,-1059.1035546874991,1059.1035546874991,h1,1
2025-03-01,2025-04-01,ANTIOQUIA,13055.229,16108.658,-3053.4292031250006,3053.4292031250006,h1,1
2025-04-01,2025-05-01,ANTIOQUIA,15429.355,15306.419,122.93605468749956,122.93605468749956,h1,1
2025-05-01,2025-06-01,ANTIOQUIA,15162.51,15580.775,-418.2653906249998,418.2653906249998,h1,1
2025-06-01,2025-07-01,ANTIOQUIA,17020.406,16109.405,911.000726562499,911.000726562499,h1,1
2025-07-01,2025-08-01,ANTIOQUIA,13670.263,17237.504,-3567.240906249999,3567.240906249999,h1,1
2025-08-01,2025-09-01,ANTIOQUIA,12567.304,15498.969,-2931.66475,2931.66475,h1,1
2024-12-01,2025-01-01,ARAUCA,102.0,136.25473,-34.254730224609375,34.254730224609375,h1,1
2025-01-01,2025-02-01,ARAUCA,107.0,100.36868,6.631317138671875,6.631317138671875,h1,1
