fecha,fecha_predicha,departamento,target,prediccion,error,error_abs,horizonte,meses_horizonte
2024-06-01,2025-06-01,BOLIVAR,9633.944,11583.116,-1949.1722109375005,1949.1722109375005,h12,12
2024-07-01,2025-07-01,BOLIVAR,7547.281,11439.41,-3892.12915625,3892.12915625,h12,12
2024-08-01,2025-08-01,BOLIVAR,8433.849,10960.943,-2527.094359375,2527.094359375,h12,12
2024-09-01,2025-09-01,BOLIVAR,8240.879,11492.116,-3251.237210937499,3251.237210937499,h12,12
2024-01-01,2025-01-01,BOYACA,787.0,988.0347,-201.03472900390625,201.03472900390625,h12,12
2024-02-01,2025-02-01,BOYACA,788.0,916.7047,-128.7047119140625,128.7047119140625,h12,12
2024-03-01,2025-03-01,BOYACA,646.0,976.0582,-330.0582275390625,330.0582275390625,h12,12
2024-04-01,2025-04-01,BOYACA,634.0,982.6784,-348.67840576171875,348.67840576171875,h12,12
2024-05-01,2025-05-01,BOYACA,708.0,919.7769,-211.77691650390625,211.77691650390625,h12,12
2024-06-01,2025-06-01,BOYACA,736.0,1015.90234,-279.90234375,279.90234375,h12,12
2024-07-01,2025-07-01,BOYACA,1150.0,1277.2434,-127.243408203125,127.243408203125,h12,12
2024-08-01,2025-08-01,BOYACA,875.0,934.5469,-59.546875,59.546875,h12,12
2024-09-01,2025-09-01,BOYACA,797.0,908.1362,-111.13623046875,111.13623046875,h12,12
2024-01-01,2025-01-01,CALDAS,1265.0,1285.3074,-20.307373046875,20.307373046875,h12,12
2024-02-01,2025-02-01,CALDAS,827.0,887.26013,-60.2601318359375,60.2601318359375,h12,12
2024-03-01,2025-03-01,CALDAS,865.0,990.5776,-125.57757568359375,125.57757568359375,h12,12
2024-04-01,2025-04-01,CALDAS,984.0,805.49207,178.5079345703125,178.5079345703125,h12,12
2024-05-01,2025-05-01,CALDAS,975.0,970.60364,4.3963623046875,4.3963623046875,h12,12
2024-06-01,2025-06-01,CALDAS,1198.0,1134.365,63.635009765625,63.635009765625,h12,12
2024-07-01,2025-07-01,CALDAS,1388.0,1410.8401,-22.840087890625,22.840087890625,h12,12
2024-08-01,2025-08-01,CALDAS,1308.0,966.7309,341.26910400390625,341.26910400390625,h12,12
2024-09-01,2025-09-01,CALDAS,1093.0,982.1969,110.8031005859375,110.8031005859375,h12,12
2024-01-01,2025-01-01,CAQUETA,137.0,141.98547,-4.9854736328125,4.9854736328125,h12,12
2024-02-01,2025-02-01,CAQUETA,124.0,150.50766,-26.507659912109375,26.507659912109375,h12,12
2024-03-01,2025-03-01,CAQUETA,126.0,214.9542,-88.95419311523438,88.95419311523438,h12,12
2024-04-01,2025-04-01,CAQUETA,120.0,161.91095,-41.91094970703125,41.91094970703125,h12,12
2024-05-01,2025-05-01,CAQUETA,57.0,152.27188,-95.27188110351562,95.27188110351562,h12,12
2024-06-01,2025-06-01,CAQUETA,134.0,161.09729,-27.0972900390625,27.0972900390625,h12,12
2024-07-01,2025-07-01,CAQUETA,134.0,165.59782,-31.597824096679688,31.597824096679688,h12,12
2024-08-01,2025-08-01,CAQUETA,97.0,160.17493,-63.1749267578125,63.1749267578125,h12,12
2024-09-01,2025-09-01,CAQUETA,94.0,181.34985,-87.349853515625,87.349853515625,h12,12
2024-01-01,2025-01-01,CASANARE,220.0,197.12996,22.870040893554688,22.870040893554688,h12,12
2024-02-01,2025-02-01,CASANARE,146.0,161.98155,-15.981552124023438,15.981552124023438,h12,12
2024-03-01,2025-03-01,CASANARE,149.0,179.86258,-30.862579345703125,30.862579345703125,h12,12
2024-04-01,2025-04-01,CASANARE,146.0,155.86832,-9.868316650390625,9.868316650390625,h12,12
2024-05-01,2025-05-01,CASANARE,100.0,159.7599,-59.75990295410156,59.75990295410156,h12,12
2024-06-01,2025-06-01,CASANARE,101.0,169.47954,-68.47953796386719,68.47953796386719,h12,12
2024-07-01,2025-07-01,CASANARE,171.0,179.81789,-8.817886352539062,8.817886352539062,h12,12
2024-08-01,2025-08-01,CASANARE,157.0,186.67975,-29.67974853515625,29.67974853515625,h12,12
2024-09-01,2025-09-01,CASANARE,103.0,191.18053,-88.18052673339844,88.18052673339844,h12,12
2024-01-01,2025-01-01,CAUCA,523.0,436.8515,86.14849853515625,86.14849853515625,h12,12
2024-02-01,2025-02-01,CAUCA,383.0,392.1253,-9.12530517578125,9.12530517578125,h12,12
2024-03-01,2025-03-01,CAUCA,404.0,518.53876,-114.53875732421875,114.53875732421875,h12,12
2024-04-01,2025-04-01,CAUCA,518.0,350.08456,167.91543579101562,167.91543579101562,h12,12
2024-05-01,2025-05-01,CAUCA,375.0,349.14417,25.8558349609375,25.8558349609375,h12,12
2024-06-01,2025-06-01,CAUCA,544.0,550.10284,-6.10284423828125,6.10284423828125,h12,12
2024-07-01,2025-07-01,CAUCA,571.0,513.45795,57.54205322265625,57.54205322265625,h12,12
2024-08-01,2025-08-01,CAUCA,642.0,508.41052,133.5894775390625,133.5894775390625,h12,12
2024-09-01,2025-09-01,CAUCA,399.0,377.24805,21.751953125,21.751953125,h12,12
2024-01-01,2025-01-01,CESAR,391.0,333.96692,57.0330810546875,57.0330810546875,h12,12
2024-02-01,2025-02-01,CESAR,357.0,303.18884,53.8111572265625,53.8111572265625,h12,12
2024-03-01,2025-03-01,CESAR,342.0,348.8927,-6.8927001953125,6.8927001953125,h12,12
2024-04-01,2025-04-01,CESAR,793.0,415.38712,377.6128845214844,377.6128845214844,h12,12
2024-05-01,2025-05-01,CESAR,707.0,417.5373,289.46270751953125,289.46270751953125,h12,12
2024-06-01,2025-06-01,CESAR,472.0,339.62283,132.37716674804688,132.37716674804688,h12,12
2024-07-01,2025-07-01,CESAR,456.0,380.06784,75.93215942382812,75.93215942382812,h12,12
2024-08-01,2025-08-01,CESAR,520.0,359.01923,160.98077392578125,160.98077392578125,h12,12
2024-09-01,2025-09-01,CESAR,342.0,355.86996,-13.869964599609375,13.869964599609375,h12,12
2024-01-01,2025-01-01,CHOCO,329.0,123.37296,205.62703704833984,205.62703704833984,h12,12
2024-02-01,2025-02-01,CHOCO,296.0,177.99971,118.00028991699219,118.00028991699219,h12,12
2024-03-01,2025-03-01,CHOCO,304.0,202.37819,101.62181091308594,101.62181091308594,h12,12
2024-04-01,2025-04-01,CHOCO,280.0,222.02989,57.97010803222656,57.97010803222656,h12,12
2024-05-01,2025-05-01,CHOCO,293.0,222.56238,70.4376220703125,70.4376220703125,h12,12
2024-06-01,2025-06-01,CHOCO,278.0,225.11739,52.88261413574219,52.88261413574219,h12,12
2024-07-01,2025-07-01,CHOCO,185.0,318.87152,-133.87152099609375,133.87152099609375,h12,12
2024-08-01,2025-08-01,CHOCO,327.0,428.98553,-101.98553466796875,101.98553466796875,h12,12
2024-09-01,2025-09-01,CHOCO,213.0,217.60332,-4.6033172607421875,4.6033172607421875,h12,12
2024-01-01,2025-01-01,CORDOBA,340.0,318.57462,21.425384521484375,21.425384521484375,h12,12
2024-02-01,2025-02-01,CORDOBA,373.0,290.1945,82.80551147460938,82.80551147460938,h12,12
2024-03-01,2025-03-01,CORDOBA,786.0,424.1366,361.8634033203125,361.8634033203125,h12,12
2024-04-01,2025-04-01,CORDOBA,328.0,335.5081,-7.508087158203125,7.508087158203125,h12,12
2024-05-01,2025-05-01,CORDOBA,649.0,293.07144,355.9285583496094,355.9285583496094,h12,12
2024-06-01,2025-06-01,CORDOBA,870.0,489.6853,380.314697265625,380.314697265625,h12,12
